date,open,high,low,close,Volume
22.07.2013 23:00:00.000 GMT+0200,0.85831,0.85908,0.85818,0.85865,8306.069899999999
23.07.2013 03:00:00.000 GMT+0200,0.85864,0.85896,0.85844,0.85857,11635.74
23.07.2013 07:00:00.000 GMT+0200,0.85859,0.85891,0.85821,0.85879,21994.0198
23.07.2013 11:00:00.000 GMT+0200,0.85879,0.85983,0.85817,0.85912,29475.1396
23.07.2013 15:00:00.000 GMT+0200,0.85912,0.86079,0.85897,0.85928,35925.380399999995
23.07.2013 19:00:00.000 GMT+0200,0.85924,0.86032,0.85897,0.86030,15566.990500000002
23.07.2013 23:00:00.000 GMT+0200,0.86025,0.86037,0.85972,0.85977,7641.7101
24.07.2013 03:00:00.000 GMT+0200,0.85977,0.86003,0.85952,0.85997,10216.7201
24.07.2013 07:00:00.000 GMT+0200,0.85997,0.86204,0.85871,0.86138,26098.4396
24.07.2013 11:00:00.000 GMT+0200,0.86139,0.86285,0.86122,0.86214,29048.7901
24.07.2013 15:00:00.000 GMT+0200,0.86210,0.86238,0.86013,0.86018,34917.9293
24.07.2013 19:00:00.000 GMT+0200,0.86016,0.86210,0.86007,0.86188,18703.5998
24.07.2013 23:00:00.000 GMT+0200,0.86188,0.86198,0.86124,0.86175,8940.1898
25.07.2013 03:00:00.000 GMT+0200,0.86175,0.86191,0.86129,0.86137,7413.4702
25.07.2013 07:00:00.000 GMT+0200,0.86138,0.86162,0.85873,0.86122,29035.290100000002
25.07.2013 11:00:00.000 GMT+0200,0.86122,0.86403,0.86097,0.86328,38209.220199999996
25.07.2013 15:00:00.000 GMT+0200,0.86331,0.86433,0.86248,0.86267,32676.610399999998
25.07.2013 19:00:00.000 GMT+0200,0.86266,0.86329,0.86135,0.86264,25468.4003
25.07.2013 23:00:00.000 GMT+0200,0.86265,0.86321,0.86254,0.86301,8954.0799
26.07.2013 03:00:00.000 GMT+0200,0.86301,0.86309,0.86227,0.86279,10171.94
26.07.2013 07:00:00.000 GMT+0200,0.86278,0.86364,0.86224,0.86290,27601.000500000002
26.07.2013 11:00:00.000 GMT+0200,0.86290,0.86313,0.86061,0.86161,41630.8192
26.07.2013 15:00:00.000 GMT+0200,0.86161,0.86375,0.86110,0.86335,50262.8603
26.07.2013 19:00:00.000 GMT+0200,0.86335,0.86352,0.86258,0.86266,21110.6197
26.07.2013 23:00:00.000 GMT+0200,0.86266,0.86266,0.86266,0.86266,0
27.07.2013 03:00:00.000 GMT+0200,0.86266,0.86266,0.86266,0.86266,0
27.07.2013 07:00:00.000 GMT+0200,0.86266,0.86266,0.86266,0.86266,0
27.07.2013 11:00:00.000 GMT+0200,0.86266,0.86266,0.86266,0.86266,0
27.07.2013 15:00:00.000 GMT+0200,0.86266,0.86266,0.86266,0.86266,0
27.07.2013 19:00:00.000 GMT+0200,0.86266,0.86266,0.86266,0.86266,0
27.07.2013 23:00:00.000 GMT+0200,0.86266,0.86266,0.86266,0.86266,0
28.07.2013 03:00:00.000 GMT+0200,0.86266,0.86266,0.86266,0.86266,0
28.07.2013 07:00:00.000 GMT+0200,0.86266,0.86266,0.86266,0.86266,0
28.07.2013 11:00:00.000 GMT+0200,0.86266,0.86266,0.86266,0.86266,0
28.07.2013 15:00:00.000 GMT+0200,0.86266,0.86266,0.86266,0.86266,0
28.07.2013 19:00:00.000 GMT+0200,0.86266,0.86266,0.86266,0.86266,0
28.07.2013 23:00:00.000 GMT+0200,0.86367,0.86367,0.86264,0.86310,8757.3599
29.07.2013 03:00:00.000 GMT+0200,0.86316,0.86336,0.86277,0.86318,17680.430099999998
29.07.2013 07:00:00.000 GMT+0200,0.86314,0.86339,0.86208,0.86243,40704.8398
29.07.2013 11:00:00.000 GMT+0200,0.86242,0.86396,0.86221,0.86304,57775.7296
