date,open,high,low,close,volume
2023-06-26 04:00:00,121.98,121.98,121.5,121.5,9237
2023-06-26 04:05:00,121.2,121.48,121.02,121.03,3152
2023-06-26 04:10:00,121.05,121.28,121.01,121.01,1442
2023-06-26 04:15:00,121.16,121.29,121.16,121.23,1465
2023-06-26 04:25:00,121.18,121.18,121.11,121.15,1464
2023-06-26 04:30:00,121.05,121.05,120.92,121.04,1798
2023-06-26 04:35:00,121.01,121.05,121.01,121.05,200
2023-06-26 04:40:00,121.07,121.07,121.05,121.05,240
2023-06-26 04:45:00,121.0,121.0,121.0,121.0,900
2023-06-26 05:15:00,121.06,121.06,121.06,121.06,400
2023-06-26 05:20:00,121.07,121.07,121.07,121.07,100
2023-06-26 05:35:00,121.13,121.15,121.13,121.15,350
2023-06-26 05:40:00,121.19,121.25,121.19,121.25,248
2023-06-26 05:45:00,121.25,121.25,121.21,121.21,452
2023-06-26 05:50:00,121.2,121.2,121.2,121.2,100
2023-06-26 05:55:00,121.14,121.2,121.14,121.2,334
2023-06-26 06:00:00,121.06,121.06,121.06,121.06,100
2023-06-26 06:15:00,121.17,121.17,121.17,121.17,176
2023-06-26 06:25:00,121.05,121.05,121.05,121.05,197
2023-06-26 06:35:00,121.05,121.05,121.05,121.05,321
2023-06-26 07:00:00,121.2,121.3,121.1,121.1,2165
2023-06-26 07:05:00,121.2,121.3,121.2,121.22,1009
2023-06-26 07:10:00,121.3,121.3,121.28,121.29,1200
2023-06-26 07:15:00,121.35,121.35,121.35,121.35,499
2023-06-26 07:25:00,121.3,121.4,121.25,121.39,2368
2023-06-26 07:30:00,121.35,121.37,121.27,121.37,3033
2023-06-26 07:35:00,121.31,121.33,121.31,121.33,200
2023-06-26 07:40:00,121.38,121.39,121.35,121.35,2193
2023-06-26 07:45:00,121.34,121.43,121.29,121.35,3119
2023-06-26 07:50:00,121.39,121.42,121.32,121.41,2085
2023-06-26 07:55:00,121.45,121.46,121.3,121.3,1792
2023-06-26 08:00:00,121.2517,122.84,121.14,121.36,18543
2023-06-26 08:05:00,121.3898,121.43,121.35,121.39,2817
2023-06-26 08:10:00,121.4,121.64,121.37,121.64,6897
2023-06-26 08:15:00,121.56,121.56,121.41,121.46,800
2023-06-26 08:20:00,121.51,121.74,121.5,121.74,5139
2023-06-26 08:25:00,121.69,121.77,121.68,121.77,2980
2023-06-26 08:30:00,121.75,121.79,121.74,121.79,1238
2023-06-26 08:35:00,121.8,121.82,121.59,121.63,5564
2023-06-26 08:40:00,121.65,121.67,121.56,121.66,3123
2023-06-26 08:45:00,121.61,121.63,121.45,121.6,9789
2023-06-26 08:50:00,121.62,121.66,121.5401,121.59,5814
2023-06-26 08:55:00,121.6101,121.71,121.61,121.71,8938
2023-06-26 09:00:00,121.72,121.8,121.72,121.76,4307
2023-06-26 09:05:00,121.79,121.79,121.55,121.58,3906
2023-06-26 09:10:00,121.52,121.6,121.4,121.6,7832
2023-06-26 09:15:00,121.52,121.66,121.52,121.66,1868
2023-06-26 09:20:00,121.55,121.77,121.42,121.73,10363
